scope	status	symbol	expected_crc	expected_provider	actual
candidate-builtin	ok	cfg80211_connect_result	16cd9cf6	vmlinux+__crc+__ksymtab	symvers=16cd9cf6@vmlinux[line=3050];vmlinux=16cd9cf6@__crc_cfg80211_connect_result[line=38851];ksymtab=1
candidate-builtin	ok	cfg80211_del_sta	54600711	vmlinux+__crc+__ksymtab	symvers=54600711@vmlinux[line=3658];vmlinux=54600711@__crc_cfg80211_del_sta[line=38856];ksymtab=1
candidate-builtin	ok	cfg80211_disconnected	7475ebbb	vmlinux+__crc+__ksymtab	symvers=7475ebbb@vmlinux[line=5828];vmlinux=7475ebbb@__crc_cfg80211_disconnected[line=38857];ksymtab=1
candidate-builtin	ok	cfg80211_find_ie	7fe1a403	vmlinux+__crc+__ksymtab	symvers=7fe1a403@vmlinux[line=1843];vmlinux=7fe1a403@__crc_cfg80211_find_ie[line=38858];ksymtab=1
candidate-builtin	ok	cfg80211_ft_event	869cf998	vmlinux+__crc+__ksymtab	symvers=869cf998@vmlinux[line=5946];vmlinux=869cf998@__crc_cfg80211_ft_event[line=38860];ksymtab=1
candidate-builtin	ok	cfg80211_get_bss	513f5d02	vmlinux+__crc+__ksymtab	symvers=513f5d02@vmlinux[line=3999];vmlinux=513f5d02@__crc_cfg80211_get_bss[line=38861];ksymtab=1
candidate-builtin	ok	cfg80211_inform_bss_width	66ee44ad	vmlinux+__crc+__ksymtab	symvers=66ee44ad@vmlinux[line=3524];vmlinux=66ee44ad@__crc_cfg80211_inform_bss_width[line=38867];ksymtab=1
candidate-builtin	ok	cfg80211_inform_bss_width_frame	a9f3a530	vmlinux+__crc+__ksymtab	symvers=a9f3a530@vmlinux[line=4223];vmlinux=a9f3a530@__crc_cfg80211_inform_bss_width_frame[line=38868];ksymtab=1
candidate-builtin	ok	cfg80211_mgmt_tx_status	da913a9e	vmlinux+__crc+__ksymtab	symvers=da913a9e@vmlinux[line=6553];vmlinux=da913a9e@__crc_cfg80211_mgmt_tx_status[line=38870];ksymtab=1
candidate-builtin	ok	cfg80211_michael_mic_failure	21c95d93	vmlinux+__crc+__ksymtab	symvers=21c95d93@vmlinux[line=7513];vmlinux=21c95d93@__crc_cfg80211_michael_mic_failure[line=38871];ksymtab=1
candidate-builtin	ok	cfg80211_new_sta	b25e51ec	vmlinux+__crc+__ksymtab	symvers=b25e51ec@vmlinux[line=4612];vmlinux=b25e51ec@__crc_cfg80211_new_sta[line=38872];ksymtab=1
candidate-builtin	ok	cfg80211_pmksa_candidate_notify	b8b3264d	vmlinux+__crc+__ksymtab	symvers=b8b3264d@vmlinux[line=6433];vmlinux=b8b3264d@__crc_cfg80211_pmksa_candidate_notify[line=38874];ksymtab=1
candidate-builtin	ok	cfg80211_put_bss	69fa3142	vmlinux+__crc+__ksymtab	symvers=69fa3142@vmlinux[line=1605];vmlinux=69fa3142@__crc_cfg80211_put_bss[line=38876];ksymtab=1
candidate-builtin	ok	cfg80211_ready_on_channel	2533f672	vmlinux+__crc+__ksymtab	symvers=2533f672@vmlinux[line=2575];vmlinux=2533f672@__crc_cfg80211_ready_on_channel[line=38878];ksymtab=1
candidate-builtin	ok	cfg80211_remain_on_channel_expired	8e1f0594	vmlinux+__crc+__ksymtab	symvers=8e1f0594@vmlinux[line=1734];vmlinux=8e1f0594@__crc_cfg80211_remain_on_channel_expired[line=38881];ksymtab=1
candidate-builtin	ok	cfg80211_roamed_bss	ccfb0457	vmlinux+__crc+__ksymtab	symvers=ccfb0457@vmlinux[line=3573];vmlinux=ccfb0457@__crc_cfg80211_roamed_bss[line=38885];ksymtab=1
candidate-builtin	ok	cfg80211_rx_mgmt	a31ac49f	vmlinux+__crc+__ksymtab	symvers=a31ac49f@vmlinux[line=3245];vmlinux=a31ac49f@__crc_cfg80211_rx_mgmt[line=38887];ksymtab=1
candidate-builtin	ok	cfg80211_scan_done	7f5a3bab	vmlinux+__crc+__ksymtab	symvers=7f5a3bab@vmlinux[line=6072];vmlinux=7f5a3bab@__crc_cfg80211_scan_done[line=38892];ksymtab=1
candidate-builtin	ok	cfg80211_sched_scan_results	47542f54	vmlinux+__crc+__ksymtab	symvers=47542f54@vmlinux[line=687];vmlinux=47542f54@__crc_cfg80211_sched_scan_results[line=38893];ksymtab=1
candidate-builtin	ok	cfg80211_sched_scan_stopped	393c72f2	vmlinux+__crc+__ksymtab	symvers=393c72f2@vmlinux[line=3993];vmlinux=393c72f2@__crc_cfg80211_sched_scan_stopped[line=38894];ksymtab=1
candidate-builtin	ok	cfg80211_tdls_oper_request	99d48883	vmlinux+__crc+__ksymtab	symvers=99d48883@vmlinux[line=3510];vmlinux=99d48883@__crc_cfg80211_tdls_oper_request[line=38898];ksymtab=1
candidate-builtin	ok	cfg80211_unlink_bss	b2dde6cd	vmlinux+__crc+__ksymtab	symvers=b2dde6cd@vmlinux[line=1338];vmlinux=b2dde6cd@__crc_cfg80211_unlink_bss[line=38900];ksymtab=1
candidate-builtin	ok	cfg80211_vendor_cmd_reply	00e62678	vmlinux+__crc+__ksymtab	symvers=00e62678@vmlinux[line=2822];vmlinux=00e62678@__crc_cfg80211_vendor_cmd_reply[line=38902];ksymtab=1
candidate-builtin	ok	class_destroy	a9965990	vmlinux+__crc+__ksymtab	symvers=a9965990@vmlinux[line=2833];vmlinux=a9965990@__crc_class_destroy[line=38913];ksymtab=1
candidate-builtin	ok	clear_bit	a87cf413	vmlinux+__crc+__ksymtab	symvers=a87cf413@vmlinux[line=4428];vmlinux=a87cf413@__crc_clear_bit[line=38925];ksymtab=1
candidate-builtin	ok	clk_disable	d01984d3	vmlinux+__crc+__ksymtab	symvers=d01984d3@vmlinux[line=4924];vmlinux=d01984d3@__crc_clk_disable[line=38933];ksymtab=1
candidate-builtin	ok	clk_enable	6c8748dc	vmlinux+__crc+__ksymtab	symvers=6c8748dc@vmlinux[line=508];vmlinux=6c8748dc@__crc_clk_enable[line=38935];ksymtab=1
candidate-builtin	ok	clk_prepare	a47ab77e	vmlinux+__crc+__ksymtab	symvers=a47ab77e@vmlinux[line=6886];vmlinux=a47ab77e@__crc_clk_prepare[line=38951];ksymtab=1
candidate-builtin	ok	clk_unprepare	df5321ae	vmlinux+__crc+__ksymtab	symvers=df5321ae@vmlinux[line=5931];vmlinux=df5321ae@__crc_clk_unprepare[line=38968];ksymtab=1
candidate-builtin	ok	complete	bdbc13a1	vmlinux+__crc+__ksymtab	symvers=bdbc13a1@vmlinux[line=1541];vmlinux=bdbc13a1@__crc_complete[line=39004];ksymtab=1
candidate-builtin	ok	complete_all	86ea4d38	vmlinux+__crc+__ksymtab	symvers=86ea4d38@vmlinux[line=7527];vmlinux=86ea4d38@__crc_complete_all[line=39005];ksymtab=1
candidate-builtin	ok	completion_done	ceb1717d	vmlinux+__crc+__ksymtab	symvers=ceb1717d@vmlinux[line=5069];vmlinux=ceb1717d@__crc_completion_done[line=39008];ksymtab=1
candidate-builtin	ok	connectivity_export_clk_buf_ctrl	4d0ae244	vmlinux+__crc+__ksymtab	symvers=4d0ae244@vmlinux[line=7459];vmlinux=4d0ae244@__crc_connectivity_export_clk_buf_ctrl[line=39033];ksymtab=1
candidate-builtin	ok	connectivity_export_dump_thread_state	dced65b2	vmlinux+__crc+__ksymtab	symvers=dced65b2@vmlinux[line=4742];vmlinux=dced65b2@__crc_connectivity_export_dump_thread_state[line=39034];ksymtab=1
